Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Nme4,1.16686083122874e-09,-0.529879137705254,0.09,0.152,3.05507502832309e-05
Oit3,1.19814120012973e-09,3.04346974333851,0.018,0.003,3.13697329017966e-05
Ptgr2,1.20665549194913e-09,-0.513425036470314,0.112,0.18,3.15926540902121e-05
Zfp318,1.20766718586832e-09,-0.642121727027712,0.071,0.127,3.16191422604044e-05
Slc7a7,1.22552323991394e-09,-0.923049114341102,0.037,0.081,3.20866494674269e-05
Jmy,1.25904593105156e-09,-1.48689056100245,0.01,0.041,3.29643405667918e-05
Plxnd1,1.27378168436418e-09,1.16310784272214,0.104,0.062,3.33501520600229e-05
F830016B08Rik,1.27514451737841e-09,-0.657202960683998,0.134,0.202,3.33858337540015e-05
Rpl8,1.2847890480776e-09,0.473024905434233,0.563,0.548,3.36383468567678e-05
Wipf1,1.30380326755943e-09,-0.233230191222732,0.336,0.443,3.41361771512409e-05
Oaz1,1.31017176367115e-09,0.323136148480964,0.739,0.739,3.43029171164379e-05
Ndufs6,1.31349625573731e-09,-0.463388533810811,0.154,0.228,3.43899589677143e-05
Tle5,1.35604986905841e-09,0.375919622737148,0.702,0.698,3.55040976716873e-05
Acadl,1.38675926219511e-09,0.625103593843192,0.377,0.328,3.63081310027924e-05
N6amt1,1.39226111792445e-09,-0.956040719686126,0.037,0.081,3.6452180589498e-05
Adamtsl5,1.41868426909428e-09,1.47323168567911,0.065,0.032,3.71439915334263e-05
Slfn5,1.43158805087687e-09,0.613156254677798,0.527,0.5,3.74818383480581e-05
ENSMUSG00000121485,1.4373414322171e-09,1.21757283201867,0.166,0.116,3.7632473378308e-05
Samd8,1.4395531019055e-09,1.17911932709464,0.238,0.186,3.76903793140899e-05
A630001G21Rik,1.44931206521266e-09,-0.555705660958151,0.107,0.171,3.79458884913979e-05
Tmem131,1.468221494276e-09,-0.412541546173012,0.127,0.197,3.84409751631342e-05
Lrrc57,1.47480986153311e-09,-0.539466476255572,0.105,0.169,3.86134717946598e-05
Abcd3,1.51158382600007e-09,-0.288358282541794,0.151,0.226,3.95762877323337e-05
Ddx27,1.51835850727942e-09,-0.512442328620816,0.1,0.163,3.97536624375898e-05
Pnpla2,1.56775462523582e-09,-0.48206769786823,0.128,0.196,4.10469515979243e-05
Gpr141,1.61637795223433e-09,0.761158963441591,0.17,0.116,4.23200075453993e-05
Actr10,1.63296595062659e-09,-0.296040157011804,0.231,0.32,4.27543145193054e-05
Fgl2,1.68857630332249e-09,0.775196567983325,0.799,0.845,4.42103047735894e-05
Ncf2,1.7104028676693e-09,-0.240181093039609,0.336,0.448,4.47817678813175e-05
AB124611,1.71676044861721e-09,-0.267907460506582,0.302,0.401,4.49482220656957e-05
Zc3h15,1.71858434067269e-09,-0.339910610070618,0.192,0.275,4.49959752074924e-05
Pdgfc,1.73280235513182e-09,-0.577790845046867,0.078,0.135,4.53682312620614e-05
9930021J03Rik,1.76223115622303e-09,-0.377856974373892,0.117,0.186,4.61387361322313e-05
Chic2,1.77913207397757e-09,-0.303753725419035,0.173,0.253,4.65812359608807e-05
Crk,1.79143348358739e-09,-0.249681964696273,0.198,0.284,4.6903311467285e-05
Tubb4b,1.80322210294286e-09,0.820340473258765,0.188,0.134,4.72119610992501e-05
Smg7,1.80812674532333e-09,-0.481211796041295,0.105,0.17,4.73403744460555e-05
Tnfsf8,1.81794657082254e-09,1.56614478742197,0.042,0.017,4.75974771172758e-05
Bms1,1.84132681091414e-09,-0.480467875035857,0.092,0.153,4.8209618563354e-05
