Gene,avg_log2FC,p_val,p_val_adj,neg_log10_p_adj,pct.1,pct.2,Class,Labelled
Junos,2.37006534562299,1.46771272079901e-07,0.00384276544559596,2.41535612315786,0.051,0.007,log2FC_only,FALSE
Ebi3,1.76780717986592,1.58354515712335e-07,0.00414603793038036,2.38236672904401,0.14,0.051,log2FC_only,FALSE
St3gal5,2.02528362459244,1.7747066623362e-07,0.00464653698332864,2.33287060180646,0.102,0.03,log2FC_only,FALSE
Dab2,1.07053173895175,1.7840664774146e-07,0.00467104285116691,2.3305861485675,0.398,0.239,log2FC_only,FALSE
Serpine2,-1.45825679121496,1.79518119311124e-07,0.00470014339980384,2.32788889168269,0.229,0.392,log2FC_only,FALSE
F10,2.55803602509477,2.07641846360586e-07,0.00543647882141287,2.26468229948562,0.076,0.018,log2FC_only,FALSE
Atp6v0c,1.00734218275102,2.47660542182574e-07,0.00648424831542416,2.18814036212187,0.64,0.5,log2FC_only,FALSE
Lrg1,4.01140134792356,2.6225714786243e-07,0.00686641664533414,2.16326984767991,0.042,0.005,log2FC_only,FALSE
Stfa2,5.45805797773769,2.6350912091071e-07,0.00689919580368421,2.16120152931737,0.085,0.022,log2FC_only,FALSE
Lrp1,1.43000304394156,3.01961292325849e-07,0.00790595055567538,2.10204590609025,0.178,0.075,log2FC_only,FALSE
Mdfic2,-2.73064075080542,3.08134045197337e-07,0.00806756557135667,2.09325749606194,0.042,0.169,log2FC_only,FALSE
Il1r2,2.80841995160843,3.16366761455872e-07,0.00828311454843764,2.0818063326758,0.089,0.024,log2FC_only,FALSE
Creg1,0.661837850622621,3.34007376236482e-07,0.00874498112462357,2.05824112357589,0.386,0.229,NS,FALSE
Tagln2,0.476895877794287,3.40076323931851e-07,0.00890387831318373,2.05042078401409,0.907,0.883,NS,FALSE
Inpp4b,-0.991824119017135,3.7763330545429e-07,0.00988719520340421,2.00492689146089,0.479,0.612,log2FC_only,FALSE
Prkcd,1.13393782848048,3.94741969786665e-07,0.0103351342529545,1.9856838775332,0.242,0.121,log2FC_only,FALSE
Fyb,0.536244926054861,3.95523838704139e-07,0.0103556051449518,1.98482451739493,0.788,0.674,NS,FALSE
Ggt5,4.7416512701446,4.05788160500064e-07,0.0106243456182127,1.97369780980953,0.034,0.003,log2FC_only,FALSE
Rras,1.47960523041252,4.09802620802233e-07,0.0107294522178441,1.96942244996698,0.144,0.055,log2FC_only,FALSE
Basp1,0.898484954863861,4.35734633107811e-07,0.0114084041640287,1.94277510152637,0.534,0.385,log2FC_only,FALSE
Hsp90b1,0.469991826693283,5.439861688862e-07,0.0142426458737785,1.84640932378614,0.915,0.835,NS,FALSE
Rgs10,1.61061844316411,6.08341228608263e-07,0.0159275900474215,1.79784993093355,0.114,0.038,log2FC_only,FALSE
Fos,1.77222626767513,6.13904582739177e-07,0.0160732497852771,1.79389630611627,0.178,0.078,log2FC_only,FALSE
Mmp14,1.72476013017282,6.87155846295371e-07,0.0179911143677054,1.74494193566742,0.072,0.017,log2FC_only,FALSE
Qsox1,0.980685232584576,6.99917979242329e-07,0.0183252525325227,1.73695003181778,0.195,0.087,log2FC_only,FALSE
Acod1,1.27701380675491,7.647175175195e-07,0.0200218340436956,1.69849614271214,0.182,0.081,log2FC_only,FALSE
Gclm,1.06829484155857,8.06206444612649e-07,0.0211080971328484,1.67555091600321,0.263,0.14,log2FC_only,FALSE
Emilin2,0.904196174097463,9.07576723352039e-07,0.0237621737708031,1.62411383248369,0.424,0.273,log2FC_only,FALSE
B2m,0.428592322624428,9.79349291226971e-07,0.0256413231429046,1.59105956812218,1,1,NS,FALSE
Mbnl1,-0.53492033490735,1.2092881327624e-06,0.0316615818919852,1.4994673904908,0.877,0.928,NS,FALSE
Cstdc5,5.94153032995564,1.2762893445842e-06,0.0334158076199036,1.47604803803785,0.059,0.013,log2FC_only,FALSE
Fgr,1.44827868793713,1.31869677953595e-06,0.0345261190818104,1.46185223590129,0.136,0.052,log2FC_only,FALSE
Mat2a,-0.880849727154494,1.33899710714752e-06,0.0350576222593364,1.4552175427393,0.331,0.472,log2FC_only,FALSE
Nkg7,-0.555901606466113,1.41497486176907e-06,0.0370468718308378,1.43124845715727,0.792,0.856,NS,FALSE
Ecm1,1.74271540484846,1.44787703111165e-06,0.0379083164285651,1.42126550288615,0.161,0.07,log2FC_only,FALSE
mt-Nd5,-0.355908673457835,1.46991926886839e-06,0.0384854262975121,1.41470369846057,0.983,0.997,NS,FALSE
Pycard,0.817871683397802,1.4835294463734e-06,0.0388417679649483,1.41070101048528,0.377,0.233,log2FC_only,FALSE
Ly6a2,2.55975443514381,1.49152754381363e-06,0.0390511741521286,1.4083659036529,0.093,0.029,log2FC_only,FALSE
mt-Nd2,-0.270783517683331,1.57169158347556e-06,0.041150029038557,1.38562985398074,1,0.998,NS,FALSE
D730003I15Rik,4.27774910259301,1.64201377761041e-06,0.0429912047253959,1.36662038465129,0.025,0.001,log2FC_only,FALSE
Saa3,2.5831948175127,1.71523184636532e-06,0.0449082002015367,1.34767434992958,0.165,0.073,log2FC_only,FALSE
Nampt,0.623013614873984,1.78825140162619e-06,0.0468199981973769,1.32956860736023,0.398,0.249,NS,FALSE
Lamp2,0.730810945506083,1.79496141170495e-06,0.0469956796812589,1.32794206497557,0.458,0.298,NS,FALSE
Abcg1,1.36434046275498,1.85376429883719e-06,0.0485352568721553,1.31394266753642,0.182,0.084,log2FC_only,FALSE
Klrd1,-0.593548569866699,1.91336214443206e-06,0.0500956476655201,1.30020000421172,0.581,0.734,NS,FALSE
Gzmb,-0.709810835094171,1.9664130928334e-06,0.0514846275965641,1.2883224242904,0.843,0.888,NS,FALSE
Trem2,1.3472076751705,2.09192990378145e-06,0.054770908740806,1.26145005334101,0.242,0.126,log2FC_only,FALSE
Lgals3,1.38831210034019,2.09948008624565e-06,0.0549685876180836,1.25988542180365,0.716,0.632,log2FC_only,FALSE
Unc93b1,0.944617166924713,2.22342301211311e-06,0.0582136613031454,1.23497508524101,0.284,0.163,log2FC_only,FALSE
Siglece,5.20863712817131,2.295913717204e-06,0.0601116129438352,1.22104161867572,0.021,0.001,log2FC_only,FALSE
ENSMUSG00000120357,3.70270513461533,2.37911901965268e-06,0.0622900941725466,1.20558101254236,0.021,0.001,log2FC_only,FALSE
Gng12,1.13032942989588,2.40391443852388e-06,0.0629392878294323,1.20107817552349,0.199,0.094,log2FC_only,FALSE
Pgam1,0.417889771328857,2.60713599629227e-06,0.0682600346549241,1.16583349557044,0.814,0.726,NS,FALSE
Rnase4,1.48368874835523,2.63851555042668e-06,0.0690816141412713,1.16063752338516,0.064,0.015,log2FC_only,FALSE
Aatk,4.43614259806827,2.71335348930204e-06,0.0710410210569061,1.14849080516592,0.038,0.005,log2FC_only,FALSE
Ly6a,0.636899416835277,2.75797488637379e-06,0.0722092984750387,1.14140687422563,0.911,0.879,NS,FALSE
Bcl2,-0.691839890910491,2.7797756691899e-06,0.07278008657073,1.13798743216325,0.53,0.655,NS,FALSE
Anxa5,0.771215853745087,2.88033420617374e-06,0.0754129101860408,1.12255429945376,0.483,0.334,log2FC_only,FALSE
Ppp1r15a,1.26080446171723,3.3257160670125e-06,0.0870738980665213,1.06011201289795,0.119,0.044,log2FC_only,FALSE
Niban2,1.28209573796998,3.73873273475109e-06,0.0978875004612529,1.00927276097805,0.267,0.15,log2FC_only,FALSE
Itgb2,0.709364922643859,3.99867594955624e-06,0.104693333711282,0.980080970895906,0.75,0.641,NS,FALSE
Gsn,1.21981669406714,4.13850183696626e-06,0.108354255095451,0.965154029169372,0.195,0.094,log2FC_only,FALSE
Serp1,0.803075691122445,4.14422774018464e-06,0.108504170693514,0.964553568042485,0.453,0.322,log2FC_only,FALSE
Mapk3,1.05212044221448,4.37621119476456e-06,0.114577961501326,0.940898908710608,0.292,0.172,log2FC_only,FALSE
Itm2b,0.309921852900936,4.49122468439802e-06,0.117589244686909,0.929632399235523,0.877,0.791,NS,FALSE
