Cell,SampleID,seurat_clusters,CellType1,nCount_RNA,nFeature_RNA,percent.mt,percent.rb,FibroblastScore1,FibroblastScoreFull,umap_1,umap_2
630880,Fibro_Cocultured,3,Macrophages,4813,2299,5.5267,3.5113,-0.121666,0.113419,3.134265,-4.033246
633002,Fibro_Cocultured,2,Macrophages,2638,1436,5.0796,4.0561,-0.09672,0.120928,4.366779,-2.347949
641485,Fibro_Cocultured,2,Macrophages,3122,1613,3.4593,4.3562,-0.064212,0.120036,3.812665,-1.636092
642073,Adipo_Cocultured,5,Monocytes,3670,1631,7.9837,8.0926,-0.109312,0.271596,0.759364,4.316986
645294,Adipo_Cocultured,1,Monocytes,3166,1537,6.7909,7.7701,-0.059298,0.405597,0.976677,2.191733
651543,Fibro_Cocultured,0,Macrophages,6244,2396,5.2691,3.3632,-0.113252,0.096731,4.354067,0.050853
651900,Adipo_Cocultured,2,Macrophages,5342,2044,7.2258,4.6612,-0.150267,0.131315,4.025724,-2.107198
654197,Fibro_Cocultured,3,Macrophages,5246,2460,6.2524,3.069,-0.114349,0.107776,2.932444,-4.4589
655306,Fibro_Cocultured,9,T Cells,1682,1023,8.5612,6.2426,-0.107761,0.376826,-6.712156,3.065443
661069,Fibro_Cocultured,0,Macrophages,5364,2323,4.6793,3.4676,-0.114263,0.075738,5.385645,-0.619888
666090,Fibro_Cocultured,9,T Cells,5330,2407,6.5478,9.4934,-0.12984,0.472417,-6.758887,2.097336
667139,Adipo_Cocultured,9,T Cells,4018,2005,5.1767,10.453,-0.128104,0.397177,-7.193234,2.807768
669064,Fibro_Cocultured,4,Macrophages,1564,1013,8.8875,4.0281,-0.116578,0.107802,4.260274,-3.714072
676439,Adipo_Cocultured,4,Macrophages,2342,1252,6.6183,2.5192,-0.127809,0.108787,0.662173,-1.316248
682498,Fibro_Cocultured,0,Macrophages,3521,1816,5.0554,3.2377,-0.074142,0.158939,3.931332,0.940609
690062,Fibro_Cocultured,0,Macrophages,6857,2629,5.6147,3.6897,-0.091136,0.150215,4.45977,-0.202854
705077,Fibro_Cocultured,9,T Cells,2429,1471,6.3812,9.3866,-0.074887,0.379987,-6.357303,2.115673
706137,Adipo_Cocultured,1,Monocytes,5936,2314,6.5532,6.0815,-0.136418,0.054233,-0.219754,1.064683
707114,Adipo_Cocultured,2,Macrophages,3397,1479,9.3318,3.9152,-0.095058,0.382829,2.625184,-2.318398
710825,Adipo_Cocultured,1,Monocytes,3475,1479,7.8273,4.3165,-0.089779,0.383262,-0.520662,-0.160385
711039,Adipo_Cocultured,6,Myeloid Progenitors,10318,3605,5.2917,11.5139,-0.177545,0.124805,-4.401304,5.784057
711633,Fibro_Cocultured,9,T Cells,1998,1173,8.5586,11.3614,-0.165979,0.7095,-6.799523,1.239126
716374,Adipo_Cocultured,2,Macrophages,5059,2032,5.2975,4.2499,-0.140491,0.253734,3.109422,-1.830123
720288,Fibro_Cocultured,8,NK Cells,3865,1924,10.0647,5.5886,-0.115182,0.038332,-9.437279,-1.592399
721853,Fibro_Cocultured,0,Macrophages,5131,2243,5.2816,4.2292,-0.103787,0.014061,4.987258,-1.150731
730277,Adipo_Cocultured,1,Monocytes,2947,1410,6.04,5.2257,-0.10016,0.436305,1.679296,2.067566
733093,Adipo_Cocultured,3,Macrophages,4391,1766,3.5755,3.5983,-0.079307,-0.085335,1.564815,-2.57787
740015,Fibro_Cocultured,7,T Cells,2749,1292,8.4031,14.5507,-0.037254,0.181452,-7.988085,-0.769464
741162,Adipo_Cocultured,6,Myeloid Progenitors,5824,2273,6.6621,8.7054,-0.168993,0.349596,-1.758431,3.59551
748795,Fibro_Cocultured,9,T Cells,2403,1391,6.3254,12.9005,-0.077975,0.492004,-6.299322,1.96943
752909,Fibro_Cocultured,3,Macrophages,1330,922,6.8421,2.1805,-0.069759,0.101889,2.172277,-3.095888
752929,Fibro_Cocultured,8,NK Cells,7371,2915,7.3803,10.5956,-0.102738,-0.073426,-10.702957,0.486443
753606,Fibro_Cocultured,8,NK Cells,4386,2021,7.8887,8.6183,-0.074078,0.305265,-10.832809,-1.084593
758043,Adipo_Cocultured,1,Monocytes,3581,1524,8.5172,9.5783,-0.111885,0.384656,1.374836,1.576641
760905,Adipo_Cocultured,3,Macrophages,1772,982,3.7246,2.7088,-0.047839,0.084733,-0.263353,-4.048744
766632,Fibro_Cocultured,4,Macrophages,3248,1717,4.2796,2.6478,-0.140366,0.089725,2.06565,-2.040436
767921,Fibro_Cocultured,5,Monocytes,2202,1071,10.1272,2.9064,-0.0785,0.058112,0.934287,6.368883
769384,Fibro_Cocultured,1,Monocytes,3540,1563,6.4689,4.2373,-0.110004,0.111932,1.709203,0.218359
787771,Adipo_Cocultured,6,Myeloid Progenitors,2863,1449,6.6364,10.7579,-0.143792,-0.014076,-3.631046,5.148997
790919,Fibro_Cocultured,9,T Cells,4899,2297,6.1441,10.3695,-0.136266,0.397543,-6.767768,2.091304
796315,Fibro_Cocultured,11,T Cells,4514,2195,5.206,6.1143,-0.17939,0.226182,-6.303279,-0.801771
797704,Adipo_Cocultured,6,Myeloid Progenitors,4235,1942,6.3991,11.9008,-0.105555,0.076001,-5.010458,4.290853
799392,Adipo_Cocultured,5,Monocytes,1639,894,6.8944,2.9896,-0.125024,0.129951,2.425644,3.822916
810436,Adipo_Cocultured,1,Monocytes,2282,1094,7.2305,4.7765,-0.062763,0.119072,1.773617,2.634758
815412,Adipo_Cocultured,5,Monocytes,1907,988,8.495,5.9255,-0.133495,0.31736,1.693014,5.101878
818357,Fibro_Cocultured,0,Macrophages,3732,1832,6.8328,4.0461,-0.126308,0.155473,2.87147,0.587503
822440,Adipo_Cocultured,1,Monocytes,2575,1295,8.8544,5.6699,-0.042316,0.152011,2.087731,0.716221
831906,Adipo_Cocultured,6,Myeloid Progenitors,8336,3227,6.6699,9.7769,-0.124893,-0.052201,-4.377659,5.412137
852243,Fibro_Cocultured,0,Macrophages,2046,1162,10.3128,2.6393,-0.057683,0.073866,3.972594,0.205515
852701,Adipo_Cocultured,5,Monocytes,2124,1068,6.0734,6.403,-0.09678,0.161322,1.479327,3.556717
858929,Fibro_Cocultured,2,Macrophages,3545,1674,8.5472,3.5261,-0.090887,0.141811,3.466517,-3.168115
864398,Fibro_Cocultured,7,T Cells,1663,1050,9.2604,5.7126,-0.118854,0.568695,-6.961238,-1.579781
873061,Fibro_Cocultured,1,Monocytes,4457,1929,8.7503,6.3271,-0.052619,0.177996,0.825725,1.106672
875410,Fibro_Cocultured,2,Macrophages,4013,1704,7.1767,2.2427,-0.080397,0.055441,2.241771,-2.382295
882701,Fibro_Cocultured,2,Macrophages,5338,2287,6.2383,3.3346,-0.132852,0.176343,3.656639,-3.909389
883396,Fibro_Cocultured,2,Macrophages,2630,1393,7.4905,4.7909,-0.112043,0.204152,3.280158,-3.341627
889736,Fibro_Cocultured,14,Dendritic Cells,1339,923,4.481,4.6303,-0.122548,-0.164155,-6.046318,-6.913685
895549,Fibro_Cocultured,14,Dendritic Cells,1338,933,5.4559,5.6801,-0.108592,-0.163357,-5.995085,-6.814418
897056,Adipo_Cocultured,2,Macrophages,5991,2278,7.6281,5.0075,-0.094653,0.06784,4.002762,-3.400803
899307,Fibro_Cocultured,9,T Cells,4346,2159,4.5559,9.572,-0.101738,0.348934,-7.658784,1.83472
901179,Fibro_Cocultured,14,Dendritic Cells,3331,1812,6.3645,9.0663,-0.10872,0.434066,-6.041907,-6.727825
902312,Adipo_Cocultured,6,Myeloid Progenitors,5618,2226,6.9064,3.5066,-0.138887,0.116813,-1.583966,2.342471
902442,Fibro_Cocultured,2,Macrophages,5877,2414,6.1596,3.7264,-0.089528,0.176215,2.487364,-2.563623
902452,Adipo_Cocultured,1,Monocytes,3881,1935,4.3545,5.6686,-0.12748,0.016172,-0.316812,1.991969
910994,Adipo_Cocultured,6,Myeloid Progenitors,8166,3297,5.7556,9.9559,-0.125273,0.052799,-3.670049,5.151323
930974,Fibro_Cocultured,7,T Cells,3122,1575,6.4382,8.8405,-0.110928,0.373225,-6.528535,-0.092404
931034,Adipo_Cocultured,1,Monocytes,4196,1782,9.652,3.408,-0.12048,0.307543,-0.066795,0.11767
