Cell,umap_1,umap_2,SampleID,AdipoAlpha,FibroAlpha
1662778,-7.45075,1.943299,Fibro_Cocultured,0.3,1
1674896,1.744157,2.266452,Fibro_Cocultured,0.3,1
1677311,1.470578,-0.731038,Adipo_Cocultured,1,0.3
1680274,1.733819,3.777747,Adipo_Cocultured,1,0.3
1681806,5.44386,-2.474917,Adipo_Cocultured,1,0.3
1686896,5.085044,-3.063819,Adipo_Cocultured,1,0.3
1690261,3.824445,-3.397463,Fibro_Cocultured,0.3,1
1692054,4.263604,0.681534,Fibro_Cocultured,0.3,1
1707677,-10.295404,0.838572,Fibro_Cocultured,0.3,1
1708802,-0.62589,0.793871,Adipo_Cocultured,1,0.3
1724316,-1.304099,1.80057,Adipo_Cocultured,1,0.3
1731362,2.287663,3.625297,Adipo_Cocultured,1,0.3
1732515,0.227817,-1.602181,Adipo_Cocultured,1,0.3
1734791,2.225981,2.682566,Fibro_Cocultured,0.3,1
1734961,-3.462222,3.486176,Adipo_Cocultured,1,0.3
1736587,-7.44005,-0.600465,Fibro_Cocultured,0.3,1
1738214,5.887002,-1.399018,Fibro_Cocultured,0.3,1
1739641,-4.104074,6.370164,Adipo_Cocultured,1,0.3
1740890,-2.955057,4.101368,Adipo_Cocultured,1,0.3
1743302,4.425137,-2.634138,Fibro_Cocultured,0.3,1
1760809,-5.106756,4.226885,Adipo_Cocultured,1,0.3
1766410,2.828025,-0.167165,Fibro_Cocultured,0.3,1
1774947,2.696254,-1.486249,Fibro_Cocultured,0.3,1
1777202,3.741307,-1.634019,Fibro_Cocultured,0.3,1
1782539,3.315654,-1.627672,Adipo_Cocultured,1,0.3
1791063,2.443094,3.746242,Adipo_Cocultured,1,0.3
1791911,1.566646,-0.856635,Adipo_Cocultured,1,0.3
1792039,1.869408,0.216651,Fibro_Cocultured,0.3,1
1800638,5.212155,-2.237655,Fibro_Cocultured,0.3,1
1804066,-5.509578,-6.535743,Adipo_Cocultured,1,0.3
1805604,5.681131,-1.68006,Fibro_Cocultured,0.3,1
1806200,0.475543,3.335465,Adipo_Cocultured,1,0.3
1809542,3.435069,-4.585251,Fibro_Cocultured,0.3,1
1816181,-6.159467,-0.880976,Fibro_Cocultured,0.3,1
1820770,1.927056,-0.135589,Fibro_Cocultured,0.3,1
1821830,1.834243,-1.824077,Adipo_Cocultured,1,0.3
1826137,2.9114,-3.066782,Fibro_Cocultured,0.3,1
1827894,3.760419,-0.798806,Adipo_Cocultured,1,0.3
1829571,1.708626,1.264559,Adipo_Cocultured,1,0.3
1831247,-10.535345,0.809812,Fibro_Cocultured,0.3,1
1835733,0.197833,-2.657045,Fibro_Cocultured,0.3,1
1835878,0.962201,6.337703,Adipo_Cocultured,1,0.3
1847522,1.849518,0.903929,Adipo_Cocultured,1,0.3
1853477,3.399322,-3.372542,Fibro_Cocultured,0.3,1
1854026,-0.439896,1.904234,Adipo_Cocultured,1,0.3
1858888,0.034534,6.553565,Adipo_Cocultured,1,0.3
1864655,-0.35225,-0.310173,Adipo_Cocultured,1,0.3
1865826,1.132075,-4.026125,Fibro_Cocultured,0.3,1
