Cell,umap_1,umap_2,CellType1,colour
1546483,-8.449758,2.160994,T Cells,#f6d100
1554048,2.232991,3.3331,Monocytes,#9897df
1554588,1.112039,-4.271603,Macrophages,#f08592
1562971,3.722984,-1.610316,Macrophages,#f08592
1567126,0.840262,2.127539,Monocytes,#9897df
1572349,-9.543645,-0.74769,NK Cells,#8a001b
1581639,-10.06419,-1.143232,NK Cells,#8a001b
1585713,3.981026,-1.564331,Macrophages,#f08592
1588607,3.43758,-0.110335,Macrophages,#f08592
1594892,-6.276223,-0.546652,T Cells,#f6d100
1595662,4.033327,-2.56132,Macrophages,#f08592
1602581,0.471111,2.252118,Monocytes,#9897df
1602649,-5.37253,4.845881,Myeloid Progenitors,#004583
1611456,1.090274,1.71435,Monocytes,#9897df
1612989,6.017336,-2.218803,Macrophages,#f08592
1616474,-10.223894,1.102682,NK Cells,#8a001b
1620586,2.45426,-5.015464,Macrophages,#f08592
1626228,2.61436,-1.549304,Macrophages,#f08592
1627578,0.665828,-1.647817,Monocytes,#9897df
1628024,2.231544,0.039817,Macrophages,#f08592
1647190,4.946632,-3.69769,Macrophages,#f08592
1651352,2.822975,0.80062,Macrophages,#f08592
1656394,0.342608,1.46198,Monocytes,#9897df
1657780,0.890563,3.520859,Monocytes,#9897df
1662778,-7.45075,1.943299,T Cells,#f6d100
1674896,1.744157,2.266452,Monocytes,#9897df
1677311,1.470578,-0.731038,Macrophages,#f08592
1680274,1.733819,3.777747,Monocytes,#9897df
1681806,5.44386,-2.474917,Macrophages,#f08592
1686896,5.085044,-3.063819,Macrophages,#f08592
1690261,3.824445,-3.397463,Macrophages,#f08592
1692054,4.263604,0.681534,Macrophages,#f08592
1707677,-10.295404,0.838572,NK Cells,#8a001b
1708802,-0.62589,0.793871,Monocytes,#9897df
1724316,-1.304099,1.80057,Myeloid Progenitors,#004583
1731362,2.287663,3.625297,Monocytes,#9897df
1732515,0.227817,-1.602181,Macrophages,#f08592
1734791,2.225981,2.682566,Monocytes,#9897df
1734961,-3.462222,3.486176,Myeloid Progenitors,#004583
1736587,-7.44005,-0.600465,T Cells,#f6d100
1738214,5.887002,-1.399018,Macrophages,#f08592
1739641,-4.104074,6.370164,Myeloid Progenitors,#004583
1740890,-2.955057,4.101368,Myeloid Progenitors,#004583
1743302,4.425137,-2.634138,Macrophages,#f08592
1760809,-5.106756,4.226885,Myeloid Progenitors,#004583
1766410,2.828025,-0.167165,Macrophages,#f08592
1774947,2.696254,-1.486249,Macrophages,#f08592
1777202,3.741307,-1.634019,Macrophages,#f08592
1782539,3.315654,-1.627672,Macrophages,#f08592
1791063,2.443094,3.746242,Monocytes,#9897df
1791911,1.566646,-0.856635,Macrophages,#f08592
1792039,1.869408,0.216651,Macrophages,#f08592
1800638,5.212155,-2.237655,Macrophages,#f08592
1804066,-5.509578,-6.535743,Macrophages,#f08592
1805604,5.681131,-1.68006,Macrophages,#f08592
1806200,0.475543,3.335465,Monocytes,#9897df
1809542,3.435069,-4.585251,Macrophages,#f08592
1816181,-6.159467,-0.880976,T Cells,#f6d100
1820770,1.927056,-0.135589,Macrophages,#f08592
1821830,1.834243,-1.824077,Macrophages,#f08592
1826137,2.9114,-3.066782,Macrophages,#f08592
1827894,3.760419,-0.798806,Macrophages,#f08592
1829571,1.708626,1.264559,Monocytes,#9897df
1831247,-10.535345,0.809812,NK Cells,#8a001b
1835733,0.197833,-2.657045,Macrophages,#f08592
1835878,0.962201,6.337703,Monocytes,#9897df
1847522,1.849518,0.903929,Monocytes,#9897df
1853477,3.399322,-3.372542,Macrophages,#f08592
1854026,-0.439896,1.904234,Monocytes,#9897df
1858888,0.034534,6.553565,Macrophages,#f08592
1864655,-0.35225,-0.310173,Monocytes,#9897df
1865826,1.132075,-4.026125,Macrophages,#f08592
1867002,3.864541,-0.771754,Macrophages,#f08592
1870399,-10.313593,5.535803,Mast Cells,#afa200
1880878,1.481307,-1.735613,Macrophages,#f08592
1881414,2.201111,-4.00217,Macrophages,#f08592
1882771,-0.312175,0.698185,Monocytes,#9897df
1894311,3.745757,-4.318355,Macrophages,#f08592
1896666,4.726444,-4.230894,Macrophages,#f08592
1898331,-5.715131,3.43369,Myeloid Progenitors,#004583
1906421,-0.451683,0.032761,Monocytes,#9897df
1910067,5.539135,-2.941985,Macrophages,#f08592
1911219,-7.747947,2.124203,T Cells,#f6d100
1911306,6.03084,-1.628721,Macrophages,#f08592
1912580,1.095177,5.961418,Monocytes,#9897df
1912934,-9.839602,0.978531,NK Cells,#8a001b
1914429,0.625304,-1.749173,Macrophages,#f08592
1915509,2.560931,-1.22976,Macrophages,#f08592
1928845,0.079317,-1.548634,Macrophages,#f08592
1932714,2.011485,2.107427,Monocytes,#9897df
1935261,4.71753,-0.318118,Macrophages,#f08592
1936775,5.268386,-0.618984,Macrophages,#f08592
1937404,-8.434601,2.765183,T Cells,#f6d100
1942107,-11.009478,-1.767861,NK Cells,#8a001b
1943268,1.446997,1.45657,Monocytes,#9897df
1946381,5.317247,-3.442006,Macrophages,#f08592
1950066,0.495162,4.178962,Monocytes,#9897df
1960424,2.738094,-1.219025,Macrophages,#f08592
1966125,2.475256,0.337556,Macrophages,#f08592
1968556,3.809469,-4.659845,Macrophages,#f08592
1973774,2.996358,-3.3283,Macrophages,#f08592
1975238,0.855185,4.338374,Monocytes,#9897df
1978470,1.380983,0.586249,Macrophages,#f08592
1982234,4.010088,0.881837,Macrophages,#f08592
1982974,-8.405254,2.593587,T Cells,#f6d100
1988559,1.25824,2.826838,Monocytes,#9897df
1990036,-10.326481,-1.697599,NK Cells,#8a001b
1995067,0.52653,-0.286102,Monocytes,#9897df
1997039,0.294196,4.465562,Monocytes,#9897df
2004290,1.45071,1.82139,Monocytes,#9897df
2004605,-7.034271,-1.030788,T Cells,#f6d100
2007207,0.762866,-1.200862,Monocytes,#9897df
2007521,-2.307614,7.687676,Myeloid Progenitors,#004583
2011943,2.208769,-1.27957,Macrophages,#f08592
2013648,2.632495,-3.761127,Macrophages,#f08592
2015713,-2.367884,8.124778,Myeloid Progenitors,#004583
2018979,2.764837,-0.715675,Macrophages,#f08592
2024164,5.504741,-1.392752,Macrophages,#f08592
2031054,1.373265,-0.488635,Macrophages,#f08592
2033654,1.618305,0.892749,Macrophages,#f08592
2038564,-9.242291,-1.883997,NK Cells,#8a001b
2040490,-2.420758,7.479857,Myeloid Progenitors,#004583
2047803,0.009814,3.833058,Monocytes,#9897df
2050006,4.572027,-2.522943,Macrophages,#f08592
2050382,1.249259,1.086835,Monocytes,#9897df
2052350,-10.681625,-0.14097,NK Cells,#8a001b
2060421,1.999224,-0.529331,Macrophages,#f08592
2061486,2.583973,-3.833513,Macrophages,#f08592
2064494,3.157908,-1.516229,Macrophages,#f08592
2065090,3.804326,-3.016922,Macrophages,#f08592
2066877,3.164758,0.860499,Macrophages,#f08592
2067877,4.325039,-1.954,Macrophages,#f08592
2068927,-5.860251,-6.863773,Dendritic Cells,#d3bcd4
2080116,4.690184,-3.921984,Macrophages,#f08592
2081180,-0.161516,-3.018073,Macrophages,#f08592
2084985,0.872537,0.686857,Macrophages,#f08592
2086174,3.750142,0.443204,Macrophages,#f08592
2086421,-0.468688,-0.525818,Monocytes,#9897df
2092270,-0.376908,1.460634,Monocytes,#9897df
2102698,2.827425,2.340907,Monocytes,#9897df
2103250,-4.965695,4.126784,Myeloid Progenitors,#004583
2107766,1.03261,-1.670742,Macrophages,#f08592
2110191,2.787472,-0.377956,Macrophages,#f08592
2112734,-0.340679,1.867438,Monocytes,#9897df
2114554,-8.346577,-0.048394,T Cells,#f6d100
2120037,2.7158,-1.074039,Macrophages,#f08592
2124365,2.691519,-2.061797,Macrophages,#f08592
2130277,1.719459,1.480603,Monocytes,#9897df
2131962,3.457139,-0.93618,Macrophages,#f08592
2132101,0.945491,-0.092035,Macrophages,#f08592
2133924,0.065853,2.596865,Monocytes,#9897df
2137148,1.692574,-3.357259,Macrophages,#f08592
2137544,-0.597979,3.804739,Monocytes,#9897df
2146485,1.719301,-1.91566,Macrophages,#f08592
2150543,-4.447764,4.93228,Myeloid Progenitors,#004583
2158803,2.658449,-3.654767,Macrophages,#f08592
2166447,2.866003,0.406754,Macrophages,#f08592
2167112,1.823191,-0.505326,Macrophages,#f08592
2171187,-0.229916,-0.296844,Monocytes,#9897df
2174290,4.996178,-1.459837,Macrophages,#f08592
2177934,-0.698835,0.511043,Monocytes,#9897df
2178877,3.911221,-3.223895,Macrophages,#f08592
2179504,3.197189,-2.018382,Macrophages,#f08592
2184442,1.349429,1.550529,Monocytes,#9897df
2187877,6.082218,-1.298469,Macrophages,#f08592
2188443,-5.731033,3.269022,Myeloid Progenitors,#004583
2199767,-4.921936,3.890932,Myeloid Progenitors,#004583
2204325,-4.442466,5.414405,Myeloid Progenitors,#004583
