Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lamp1,3.19700223425299e-05,0.799522954411909,0.5,0.371,0.837039124972118
Mrpl14,3.20355394973553e-05,1.02879860429561,0.191,0.099,0.838754495119758
Idh1,3.24219680370321e-05,1.30103158703991,0.131,0.058,0.848871967145575
Dpep2,3.25366481428451e-05,1.87344049619052,0.123,0.053,0.851874521675969
Il2rb,3.27035773379807e-05,-0.42278806803862,0.754,0.842,0.856245061863012
9630014M24Rik,3.36502844127873e-05,5.30464440405184,0.013,0,0.881031746495598
Car4,3.36502844127873e-05,5.83732066583567,0.013,0,0.881031746495598
Csta1,3.36502844127873e-05,4.73462981834438,0.013,0,0.881031746495598
ENSMUSG00000120440,3.36502844127873e-05,5.15462076698402,0.013,0,0.881031746495598
Gm16587,3.36502844127873e-05,5.75461183655518,0.013,0,0.881031746495598
Gm40578,3.36502844127873e-05,4.9342964489228,0.013,0,0.881031746495598
Proca1,3.36502844127873e-05,5.31495461290018,0.013,0,0.881031746495598
Tacstd2,3.36502844127873e-05,5.52236680855285,0.013,0,0.881031746495598
Tep1,3.50837230819746e-05,1.21096594219916,0.174,0.089,0.918562037732259
Acsl1,3.51253900018628e-05,1.74511149008107,0.119,0.05,0.919652961028772
Chsy1,3.60884041681239e-05,-0.628914647399523,0.309,0.447,0.944866597929819
Slc7a2,3.65866245013021e-05,1.80561099846441,0.055,0.014,0.957911002693091
Alox5,3.86427211243651e-05,2.17258952624796,0.072,0.023,1
Atp6v1g1,3.92325854707009e-05,0.678805286497413,0.445,0.322,1
Epo,4.17541983015853e-05,4.10465404509407,0.017,0.001,1
Entpd3,4.20410195898467e-05,3.69707941389163,0.017,0.001,1
Nop58,4.38576762815002e-05,-0.658748919419199,0.407,0.532,1
Gm49368,4.75546851591656e-05,2.52584366958899,0.042,0.009,1
Idi1,4.79534791792714e-05,1.08507096754297,0.203,0.112,1
Taldo1,4.89278553101239e-05,0.631306362664198,0.483,0.352,1
Spi1,4.89766761647965e-05,0.929500217995196,0.263,0.155,1
Rgl1,4.97334490167771e-05,1.11824572740873,0.203,0.111,1
Dusp5,5.12846191116982e-05,-1.10410357967765,0.174,0.298,1
Cfl1,5.15771048434903e-05,0.209234002007818,1,1,1
Jun,5.16385460448631e-05,1.1791427704265,0.275,0.171,1
Tfrc,5.22069569523897e-05,-0.703610640819862,0.339,0.463,1
Thra,5.36925937128226e-05,1.58420854810988,0.068,0.021,1
Crispld2,5.67477532486986e-05,3.85764753781568,0.025,0.003,1
Ddx21,5.88044269697754e-05,-0.644910993885789,0.407,0.527,1
Cgnl1,5.95176682669327e-05,2.46646406506356,0.038,0.007,1
Gm48089,5.95181015257258e-05,2.66757637803009,0.025,0.003,1
Olfm1,5.99417549811106e-05,1.54351267893354,0.085,0.03,1
Inhba,6.26549036582899e-05,3.14465924847937,0.059,0.017,1
Angptl2,6.29037856814905e-05,2.18800942042334,0.038,0.007,1
Gm11423,6.37783748499055e-05,2.54296734149781,0.038,0.007,1
Kcnn3,6.52954255150046e-05,3.80582702255159,0.034,0.006,1
Prdx6,6.68388588121203e-05,0.744705453733614,0.441,0.318,1
Mtm1,6.75364828430342e-05,1.66766000084201,0.076,0.026,1
Ahr,6.98848780848764e-05,1.65399493642304,0.059,0.017,1
Clec4a2,7.04812605214836e-05,0.958535481987317,0.174,0.089,1
Itgb7,7.15932972373242e-05,0.399179516089125,0.326,0.2,1
Hacd4,7.34060058646118e-05,1.21707057363599,0.089,0.033,1
Morf4l1,7.41441772476285e-05,0.319039654390362,0.869,0.797,1
Cyba,7.54292168195513e-05,0.54617744293614,0.674,0.581,1
Myof,7.71682739202241e-05,0.984127033194723,0.225,0.127,1
G6pdx,7.75353937414582e-05,0.782726179284881,0.195,0.103,1
Ifi207,8.43635265514795e-05,1.26755107648546,0.174,0.091,1
Pld4,8.69985426641004e-05,1.09559592894834,0.153,0.076,1
Sirpa,9.04395641887191e-05,0.79652312411597,0.212,0.119,1
Ndufa6,9.4250382467409e-05,0.68188119049127,0.284,0.176,1
Sgk3,9.97254589212535e-05,1.0535042812947,0.123,0.055,1
Exosc10,0.000101570351263654,-1.26913125356779,0.11,0.217,1
Sec11c,0.000101893297997041,0.432166343445206,0.538,0.399,1
Pabpc1,0.000102143189736555,-0.227401355340067,0.975,0.991,1
